trial,M1,M2,HungarianD,HungarianPD,M3,M4,M4*
39,8.342355564571355,1.731093809419078,4.382873952368327,3.757001158200888,2.757001158200888,1.731093809419078,1.7317235711289234
40,10.22585579319344,5.636870575271261,5.366465754905955,11.17579934664296,9.61199587917339,5.015132904676062,1.5447629527198525
41,19.27758184581599,1.5543353236502555,5.8143801071970325,4.713899264976865,3.7138992649768645,2.4235293786925407,2.5830408083931826
42,8.68893206483039,2.2334871393313884,7.764721966400901,9.61839315652286,8.618393156522858,2.2334871393313884,1.7097992741057682
43,27.26786240429532,1.0,1.0,2.0000000000000004,1.0,1.0,1.0
44,19.469785914648856,4.160027793747382,8.855140548839767,17.247034689297347,17.357003718752928,7.3431873394369545,4.805018142500779
45,47.951962695410685,6.535170134274424,2.785108576567072,3.785108576567072,2.785108576567072,6.535170134274424,6.39416771612445
46,7.647738251340808,1.605702103414818,10.672779167873404,6.81049342105464,5.810493421054638,4.12898684543426,3.6349430149107556
47,9.687707245357151,2.510101448283444,4.727451946551359,4.146015895378693,3.4722652560866014,2.7056448933128356,2.719779477957735
48,7.598456933171163,1.5445350934670015,11.255024954796307,8.289129581319317,6.750659639769852,1.2789315728586714,3.7604694755643084
49,14.489280093965737,5.387690917807294,3.1091640354909433,15.862893563986406,14.862893563986406,4.586679573180431,4.586679573180431
50,7.847831187803485,1.2221031199949335,14.257323867664072,9.131332217999882,7.921748180939724,1.2221031199949335,4.721022964174219
51,58.180413007318194,2.1184110964231637,5.146723308431636,9.806623322511497,8.806623322511497,2.1184110964231637,1.0066572633238873
52,2.6091582538765494,2.7803088516312013,7.804093760266974,9.991831901377218,13.06785087412217,3.280103449634467,5.966491479823661
53,19.050681903573526,2.3921704108915818,4.881375172244855,5.448163553893949,4.486269608692883,2.0265362553668846,2.3921704108915818
54,19.29179970892447,3.7989359313729465,3.957351187861244,4.957351187861244,3.957351187861244,3.7989359313729465,3.7989359313729465
55,35.863158521383426,1.3249255732882963,2.7972582217334456,2.9637757869985166,1.9637757869985168,1.3249255732882963,1.5671130525864876
56,3.3607478915717603,2.6442512127942903,12.654949577568674,14.444979196836593,13.444979196836593,2.6442512127942903,3.3334793548281847
57,23.512779678330826,9.465233509021013,3.909589272566818,9.599096578437349,8.59909657843735,8.305908628643008,4.188396897271672
58,18.47533605008086,1.2837604526705864,8.730819913051594,5.963821144685345,3.2097048110440776,1.2837604526705864,2.0387687428275942
59,25.850914808204845,4.701888493492011,10.503067304180313,9.876085735282743,8.876085735282743,6.045272415639421,8.342163366945403
60,29.18406694304364,1.7687048920999064,3.674569570742358,5.760469504609635,4.760469504609635,1.7687048920999064,1.4306115999966846
61,66.03488618540781,1.358699057416906,1.0,7.415659495176655,6.415659495176655,1.358699057416906,1.358699057416906
62,27.908702168025457,1.3249550632711757,6.49128602384681,3.5275478797817454,2.527547879781746,1.3249550632711757,1.3249550632711757
63,11.65161464983503,3.0616950170362585,1.9845774931687543,2.9845774931687545,1.9845774931687543,3.0616950170362585,4.7071842807118545
64,2.6492816354147197,1.248287365576234,7.215070621071428,4.558853466485335,3.558853466485335,1.086290394569786,1.1641852389809184
65,7.039227148394426,2.3841211029040834,12.149466393514505,5.9941182073371975,4.9941182073371975,2.3841211029040834,4.920258507852762
66,16.459016902844564,2.48204377341794,8.106103138068244,6.108282698555364,5.108282698555363,2.067678571127015,2.109947737621868
67,73.61020039824729,4.185366236632746,2.7125983372286204,7.289512028852784,6.289512028852784,4.185366236632746,4.185366236632746
68,9.759754308067302,4.191866518080575,8.346650137618822,14.552504049239227,14.531256757546183,5.055275613699824,5.256827692873084
69,62.54156666153635,4.182730891299345,9.14005871473151,14.38954053822073,13.38954053822073,9.771288731873604,5.707393716211211
70,13.570273236354502,1.0,4.899381574633212,2.298478374164701,1.0,1.0,1.1492391870823504
71,19.31603766626263,1.5786048890586621,7.131119833563601,10.22999124473449,9.22999124473449,1.5786048890586621,1.5786048890586621
72,2.7306269309283255,1.0552419218646882,10.011425155429427,4.3740368485451455,3.013298954589664,1.0552419218646882,1.0552419218646882
73,13.648801630140081,1.1199470070249895,7.590229181363668,9.146886480140802,8.146886480140802,1.1199470070249895,1.1199470070249895
74,21.330607840718336,2.9726929717827657,9.970899853545864,6.105074509210534,5.890732979522426,2.2851963780572486,2.290526823002417
75,59.169101869985056,1.935775753455218,4.98001734852269,6.2126556410043685,7.72638397530812,3.0001394270080004,2.184463913512377
76,17.69010352948327,1.3189851694220986,6.3168136711581395,9.28567611530652,8.449622171049665,1.3189851694220986,1.5537291160394826
77,4.478183336326516,1.0428893184301258,6.547098379256036,4.485203098684832,3.4852030986848312,1.0428893184301258,1.0428893184301258
78,1.528818674190797,1.5364430415494656,11.12984600219018,7.594280490737246,6.594280490737246,4.6576230965281615,4.657252520248899
79,11.569869260172075,4.085001146307291,7.462008471981182,6.488412223498815,5.148336663042432,3.1083489993907922,3.187149235675843
80,13.575506610672434,1.9848992325978194,6.468345642328736,3.988495340996747,2.9884953409967467,1.9848992325978194,1.9848992325978194
81,21.60853014495319,3.3043479176793964,5.650343106397503,5.474510248184696,4.474510248184696,7.561968913738528,3.1571409866650506
82,46.97402731126563,1.0,4.044931990865898,2.0,1.0,1.0,1.0
83,15.230359274027748,1.791062882582004,10.039576689221088,7.620012063279705,6.5665934036121865,1.791062882582004,1.791062882582004
84,1.428799394911628,5.329476923398036,4.782331289453486,17.022987733468117,17.042536821068964,9.345968473374846,2.517913079848686
